index,name
11170,ctx_lh_S_precentral-sup-part
11171,ctx_lh_S_suborbital
11172,ctx_lh_S_subparietal
11173,ctx_lh_S_temporal_inf
11174,ctx_lh_S_temporal_sup
11175,ctx_lh_S_temporal_transverse
12100,ctx_rh_Unknown
12101,ctx_rh_G_and_S_frontomargin
12102,ctx_rh_G_and_S_occipital_inf
12103,ctx_rh_G_and_S_paracentral
12104,ctx_rh_G_and_S_subcentral
12105,ctx_rh_G_and_S_transv_frontopol
12106,ctx_rh_G_and_S_cingul-Ant
12107,ctx_rh_G_and_S_cingul-Mid-Ant
12108,ctx_rh_G_and_S_cingul-Mid-Post
12109,ctx_rh_G_cingul-Post-dorsal
12110,ctx_rh_G_cingul-Post-ventral
12111,ctx_rh_G_cuneus
12112,ctx_rh_G_front_inf-Opercular
12113,ctx_rh_G_front_inf-Orbital
12114,ctx_rh_G_front_inf-Triangul
12115,ctx_rh_G_front_middle
12116,ctx_rh_G_front_sup
12117,ctx_rh_G_Ins_lg_and_S_cent_ins
12118,ctx_rh_G_insular_short
12119,ctx_rh_G_occipital_middle
12120,ctx_rh_G_occipital_sup
12121,ctx_rh_G_oc-temp_lat-fusifor
12122,ctx_rh_G_oc-temp_med-Lingual
12123,ctx_rh_G_oc-temp_med-Parahip
12124,ctx_rh_G_orbital
12125,ctx_rh_G_pariet_inf-Angular
12126,ctx_rh_G_pariet_inf-Supramar
12127,ctx_rh_G_parietal_sup
12128,ctx_rh_G_postcentral
12129,ctx_rh_G_precentral
12130,ctx_rh_G_precuneus
12131,ctx_rh_G_rectus
12132,ctx_rh_G_subcallosal
12133,ctx_rh_G_temp_sup-G_T_transv
12134,ctx_rh_G_temp_sup-Lateral
12135,ctx_rh_G_temp_sup-Plan_polar
12136,ctx_rh_G_temp_sup-Plan_tempo
12137,ctx_rh_G_temporal_inf
12138,ctx_rh_G_temporal_middle
12139,ctx_rh_Lat_Fis-ant-Horizont
12140,ctx_rh_Lat_Fis-ant-Vertical
12141,ctx_rh_Lat_Fis-post
12143,ctx_rh_Pole_occipital
12144,ctx_rh_Pole_temporal
12145,ctx_rh_S_calcarine
12146,ctx_rh_S_central
12147,ctx_rh_S_cingul-Marginalis
12148,ctx_rh_S_circular_insula_ant
12149,ctx_rh_S_circular_insula_inf
12150,ctx_rh_S_circular_insula_sup
12151,ctx_rh_S_collat_transv_ant
12152,ctx_rh_S_collat_transv_post
12153,ctx_rh_S_front_inf
12154,ctx_rh_S_front_middle
12155,ctx_rh_S_front_sup
12156,ctx_rh_S_interm_prim-Jensen
12157,ctx_rh_S_intrapariet_and_P_trans
12158,ctx_rh_S_oc_middle_and_Lunatus
12159,ctx_rh_S_oc_sup_and_transversal
12160,ctx_rh_S_occipital_ant
12161,ctx_rh_S_oc-temp_lat
12162,ctx_rh_S_oc-temp_med_and_Lingual
12163,ctx_rh_S_orbital_lateral
12164,ctx_rh_S_orbital_med-olfact
12165,ctx_rh_S_orbital-H_Shaped
12166,ctx_rh_S_parieto_occipital
12167,ctx_rh_S_pericallosal
12168,ctx_rh_S_postcentral
12169,ctx_rh_S_precentral-inf-part
12170,ctx_rh_S_precentral-sup-part
12171,ctx_rh_S_suborbital
12172,ctx_rh_S_subparietal
12173,ctx_rh_S_temporal_inf
12174,ctx_rh_S_temporal_sup
12175,ctx_rh_S_temporal_transverse
